,median,mean,std,min,max
Bin_2772,-2.0798052e-05,-2.9256697e-05,3.495567e-05,-0.00014297775,9.030979e-06
Bin_2773,-0.0,1.6103611e-05,5.8483616e-05,-0.00012662433,0.00027575018
Bin_2774,0.0,-2.4531964e-05,4.4511966e-05,-0.00023004413,6.383335e-05
Bin_2775,0.0,-1.1397964e-05,2.4749843e-05,-0.0001316787,4.2795564e-05
Bin_2776,0.0,1.8403429e-05,3.336842e-05,-3.8988313e-05,0.00015739807
Bin_2777,0.0,-7.1020736e-07,2.9214743e-05,-0.00015129463,0.00010010886
Bin_2778,-4.2514814e-05,-7.665078e-05,0.00010021207,-0.00043054164,8.530722e-05
Bin_2779,1.791164e-05,5.101877e-05,8.603884e-05,-0.000101122474,0.00045072805
Bin_2780,-0.0,-7.4204695e-07,2.7764787e-05,-6.095345e-05,0.00014450328
Bin_2781,-0.0,7.675861e-06,2.7007869e-05,-5.9273985e-05,0.00012098543
Bin_2782,0.0,9.754267e-06,3.3131542e-05,0.0,0.00027124773
Bin_2783,0.0,0.0,0.0,0.0,0.0
Bin_2784,0.0,0.0,0.0,-0.0,-0.0
Bin_2785,-0.0,0.0,0.0,0.0,0.0
Bin_2786,-0.0,0.0,0.0,-0.0,-0.0
Bin_2787,-0.0,0.0,0.0,-0.0,-0.0
Bin_2788,-0.0,0.0,0.0,0.0,0.0
Bin_2789,0.0,0.0,0.0,-0.0,-0.0
Bin_2790,0.0,0.0,0.0,0.0,0.0
Bin_2791,0.0,0.0,0.0,-0.0,-0.0
Bin_2792,-0.0,-2.6588266e-05,6.765735e-05,-0.00034129518,-0.0
Bin_2793,-0.000102586106,-0.00013824571,0.00012167488,-0.0005234581,-0.0
