,median,mean,std,min,max
Bin_353,-2.5680401e-06,-6.672591e-06,1.14305485e-05,-6.334138e-05,2.228767e-06
Bin_354,1.6249824e-05,2.049225e-05,1.7758073e-05,-1.6161431e-06,8.835254e-05
Bin_355,1.5642057e-05,1.934932e-05,1.5793941e-05,-6.0049393e-07,7.554967e-05
Bin_356,-0.0,2.091675e-07,4.4560147e-06,-2.7689855e-05,1.3037584e-05
Bin_357,2.5959365e-05,3.3997374e-05,2.5005773e-05,0.0,0.00014894218
Bin_358,5.801612e-06,8.103264e-06,1.05515655e-05,-2.0556321e-05,5.2952942e-05
Bin_359,1.6164536e-06,3.9609963e-06,7.1055197e-06,-5.9549534e-06,4.199374e-05
Bin_360,9.2486175e-07,2.2475588e-06,7.3550264e-06,-1.1539049e-05,5.5076063e-05
Bin_361,2.5368095e-06,4.539884e-06,6.1135142e-06,0.0,2.9920546e-05
Bin_362,4.487545e-06,9.144951e-06,1.4438953e-05,0.0,0.00010545833
Bin_363,-1.5912113e-07,8.911327e-08,4.2964534e-06,-1.4440824e-05,3.0138854e-05
Bin_364,0.0,3.664976e-07,6.3380326e-06,-1.4776332e-05,4.850784e-05
Bin_365,7.335832e-06,8.024327e-06,1.1309983e-05,-2.516684e-05,4.7572757e-05
Bin_366,5.614805e-05,7.506396e-05,6.322285e-05,0.0,0.00036849975
Bin_367,1.4180039e-05,1.536343e-05,1.9088378e-05,-2.9510657e-05,9.2862436e-05
Bin_368,2.3809207e-06,3.8696476e-06,8.108284e-06,-2.3175724e-05,5.2952328e-05
Bin_369,3.7031907e-06,6.4712794e-06,8.111619e-06,-4.331248e-06,4.1838524e-05
Bin_370,-5.7872583e-08,2.52906e-07,6.6978864e-06,-4.0498053e-05,2.1484093e-05
Bin_371,-4.2276469e-07,-1.4719726e-06,3.9387096e-06,-3.0420613e-05,2.8514307e-06
Bin_372,1.0355266e-06,3.579241e-06,8.039039e-06,-6.6306175e-06,5.0123715e-05
Bin_373,6.22167e-05,7.249162e-05,4.9057533e-05,0.0,0.00023996932
Bin_374,8.418113e-05,0.00011487133,9.871403e-05,9.791522e-06,0.00068697945
Bin_375,6.3112006e-05,8.841751e-05,8.856824e-05,0.0,0.0005389502
Bin_376,5.8085247e-05,6.667638e-05,5.208398e-05,0.0,0.00032155117
Bin_377,4.216579e-05,6.2682426e-05,5.5223543e-05,0.0,0.00027295973
Bin_378,7.75678e-07,1.7394469e-06,3.8214366e-06,-2.8334405e-06,2.6617532e-05
Bin_379,2.8891202e-06,3.063232e-06,7.613846e-06,-4.526435e-05,2.3516033e-05
Bin_380,3.6669422e-05,5.0858474e-05,4.8877922e-05,0.0,0.00028881145
Bin_381,-7.524105e-07,-1.7099409e-06,4.0378022e-06,-2.6477934e-05,4.602681e-06
Bin_382,4.158396e-06,8.427843e-06,1.6165026e-05,-8.586565e-07,0.00012362492
Bin_383,8.191686e-06,1.2326413e-05,1.3115978e-05,0.0,8.756708e-05
Bin_384,9.83015e-06,1.3438467e-05,1.3441295e-05,0.0,7.100373e-05
Bin_385,-2.3096336e-06,-6.1287647e-06,1.2877629e-05,-7.152544e-05,4.2780566e-06
Bin_386,-3.1015938e-06,-7.480226e-06,1.5661712e-05,-9.5421114e-05,1.1819321e-06
Bin_387,1.707871e-05,2.315992e-05,2.4521178e-05,-8.751025e-06,0.00012871616
Bin_388,1.0255442e-05,1.4465513e-05,1.4298851e-05,-5.69597e-06,7.275857e-05
Bin_389,1.3232857e-05,1.5950072e-05,1.3275374e-05,0.0,6.440081e-05
Bin_390,6.3751635e-05,8.532737e-05,6.976579e-05,6.3849784e-06,0.00041840333
Bin_391,5.0143477e-05,7.8849116e-05,7.660887e-05,6.3463326e-06,0.00043550064
Bin_392,5.076818e-05,6.072794e-05,4.138272e-05,0.0,0.00019015605
Bin_393,1.2068008e-05,1.6809185e-05,2.219706e-05,-1.6577678e-05,0.00013344822
Bin_394,6.032984e-06,9.941076e-06,1.1214797e-05,-1.7698141e-05,5.804741e-05
Bin_395,3.3067266e-05,4.8786835e-05,4.9193673e-05,0.0,0.00029512512
Bin_396,6.309041e-06,6.159349e-06,2.093827e-05,-9.063479e-05,5.915904e-05
Bin_397,1.0257658e-05,1.3562376e-05,1.396592e-05,-9.0106105e-06,5.361683e-05
Bin_398,-5.1477446e-07,-2.0599107e-06,3.573746e-06,-1.1352005e-05,3.2024477e-06
Bin_399,3.4233765e-06,5.855451e-06,1.1104692e-05,-1.9026193e-05,8.217919e-05
Bin_400,4.5293973e-06,7.93615e-06,9.985979e-06,-2.0722837e-06,5.1048075e-05
Bin_401,3.2570865e-06,5.2264863e-06,7.894838e-06,-1.2528281e-05,3.4730838e-05
Bin_402,9.023157e-06,1.4505965e-05,1.8198698e-05,0.0,0.00011428914
Bin_403,1.0563657e-06,2.4359988e-06,6.6114667e-06,-1.3210788e-05,5.0858685e-05
Bin_404,4.8851194e-05,6.303108e-05,5.2166633e-05,0.0,0.00032584686
Bin_405,1.916464e-05,3.076323e-05,3.1627722e-05,0.0,0.00018607514
Bin_406,1.0396976e-05,1.7038987e-05,2.0990805e-05,0.0,0.00012724637
Bin_407,-3.7942618e-07,-3.264955e-07,6.7832893e-06,-1.1855951e-05,5.6219214e-05
Bin_408,-1.026785e-06,-2.1860417e-06,4.528693e-06,-2.1224776e-05,1.3930114e-05
Bin_409,8.8407097e-07,1.9704246e-06,3.9676706e-06,-5.475242e-06,2.3272652e-05
Bin_410,-1.0985374e-07,-4.24691e-07,3.241295e-06,-2.0446414e-05,1.2465833e-05
Bin_411,-7.5414964e-06,-1.10996125e-05,1.182389e-05,-6.390648e-05,-0.0
Bin_412,1.2000946e-06,2.3596242e-06,6.741672e-06,-2.9749135e-05,2.4720124e-05
Bin_413,3.869137e-06,5.9625277e-06,9.810115e-06,-8.778046e-06,5.4044336e-05
Bin_414,4.3958928e-05,5.633028e-05,4.908706e-05,0.0,0.00033778217
Bin_415,-7.638506e-07,-3.3677866e-06,1.360162e-05,-7.301654e-05,2.1450816e-05
Bin_416,-1.4141488e-06,-3.5086946e-06,6.8876584e-06,-4.7000813e-05,9.3012613e-07
Bin_417,1.7985943e-05,2.5467092e-05,2.68648e-05,0.0,0.00016639874
Bin_418,1.1522369e-05,1.8610572e-05,1.9790128e-05,0.0,0.00010043658
Bin_419,2.9034823e-06,5.722169e-06,7.753684e-06,-0.0,4.141058e-05
Bin_420,1.571902e-06,4.294308e-06,9.301555e-06,-1.0198571e-05,5.8447466e-05
Bin_421,-8.7283706e-07,-1.487565e-06,6.7675105e-06,-3.8480783e-05,3.9489536e-05
Bin_422,-2.3323211e-07,-1.3714365e-06,1.0199279e-05,-7.170101e-05,4.8370544e-05
Bin_423,-1.3116046e-06,-5.0695594e-06,1.1998543e-05,-7.157138e-05,6.581002e-07
Bin_424,-8.221431e-07,-1.5510668e-06,4.6225614e-06,-2.4454785e-05,1.4588605e-05
Bin_425,5.8287924e-06,1.0131212e-05,1.2660941e-05,0.0,8.49587e-05
Bin_426,-7.099054e-08,-9.749563e-07,5.59855e-06,-2.9252431e-05,8.644025e-06
Bin_427,1.0493202e-05,1.4381696e-05,1.3379295e-05,0.0,6.726684e-05
Bin_428,-1.2556319e-06,-2.5550469e-06,5.427845e-06,-2.6409776e-05,1.1233408e-05
Bin_429,-6.358448e-07,-1.483993e-06,5.8937753e-06,-3.5826586e-05,1.7955588e-05
Bin_430,1.4626277e-06,2.0784157e-06,6.605e-06,-2.5962434e-05,2.6895012e-05
Bin_431,-1.3813029e-06,-2.513339e-06,7.0312763e-06,-4.6207457e-05,1.5639895e-05
Bin_432,7.4945547e-06,1.2975936e-05,1.7217133e-05,0.0,0.000103854334
Bin_433,1.2263699e-06,2.8319284e-06,5.949437e-06,-4.412878e-06,3.952292e-05
Bin_434,4.029304e-08,2.0362816e-06,1.15580015e-05,-2.395355e-05,5.3065552e-05
Bin_435,3.445016e-05,4.2559594e-05,3.4207602e-05,-2.1156651e-05,0.00016698455
Bin_436,5.880609e-06,7.918091e-06,8.385655e-06,-2.2490433e-06,3.647094e-05
Bin_437,4.88181e-06,9.818608e-06,1.6097238e-05,0.0,0.000107324755
Bin_438,-3.712274e-06,-5.5487935e-06,8.575464e-06,-5.511035e-05,7.942361e-06
Bin_439,1.2265629e-05,1.7180106e-05,1.8289193e-05,0.0,9.825713e-05
Bin_440,1.2573042e-06,2.0802559e-06,3.9675065e-06,-6.0035195e-06,1.578858e-05
Bin_441,-1.2568073e-06,-2.7514081e-06,4.1209014e-06,-2.2175422e-05,1.0862202e-06
Bin_442,-1.2147518e-06,-3.0332817e-06,5.894023e-06,-2.8561008e-05,3.1846046e-06
Bin_443,1.6491475e-05,2.4996154e-05,3.4177123e-05,0.0,0.0002600047
Bin_444,9.019649e-06,1.5363981e-05,2.6147316e-05,-5.001802e-06,0.00021544826
Bin_445,2.4676842e-06,3.426936e-06,1.3296306e-05,-3.727378e-05,5.0162573e-05
Bin_446,-3.473011e-06,-6.4396245e-06,9.995761e-06,-5.4406e-05,6.5609547e-06
Bin_447,3.947961e-06,5.5458545e-06,7.2931957e-06,-1.8346438e-05,3.094746e-05
Bin_448,2.585625e-07,2.697967e-06,7.673376e-06,-1.1539996e-05,4.0058898e-05
Bin_449,1.3196892e-05,1.6995744e-05,1.563288e-05,-3.1980885e-08,9.807113e-05
Bin_450,1.47507835e-05,1.9938412e-05,1.7682733e-05,3.6093968e-07,8.886562e-05
Bin_451,1.9985603e-07,1.213341e-06,4.013999e-06,-1.1518527e-05,2.2786984e-05
Bin_452,9.669452e-07,2.334249e-06,4.2085635e-06,-3.2000885e-06,2.3719742e-05
Bin_453,1.4338384e-06,2.3982627e-06,3.975281e-06,-1.1016927e-05,2.6717826e-05
Bin_454,1.2988914e-06,3.986378e-06,1.1115776e-05,-2.5910144e-06,9.674157e-05
Bin_455,2.8308673e-06,6.0585967e-06,1.0079147e-05,-5.387624e-06,6.5831926e-05
Bin_456,-5.8064444e-07,-2.7022434e-06,6.2396043e-06,-4.5518223e-05,3.0963595e-06
Bin_457,6.3522025e-06,1.0935094e-05,1.3049191e-05,-2.758817e-06,7.6175114e-05
Bin_458,1.4494674e-06,2.6153275e-06,4.2160686e-06,-3.2780943e-06,1.9467887e-05
