,median,mean,std,min,max
T.CG.A,-0.0034083384,-0.0026567522,0.0017114518,-0.0042548166,-0.00014432096
T.CG.C,0.0010943139,0.0022443517,0.0075026355,-0.005057942,0.011236481
T.CG.G,0.00079756795,0.0020967866,0.008794925,-0.009556604,0.01144968
T.CG.T,-0.0027647498,-0.0013894846,0.0027892895,-0.0037167664,0.0028489775
T.CT.A,-0.0014866808,-0.0016305776,0.0016465654,-0.0037716203,0.00014889243
T.CT.C,-0.0008363167,-0.0010653784,0.0016458782,-0.0033286144,0.0006072347
T.CT.G,0.00085103454,0.00036565663,0.0035827684,-0.003523969,0.0041848845
T.CT.T,-0.002258289,-0.0026422148,0.0013394653,-0.004653976,-0.0013250844
T.TA.A,0.01004814,0.009487671,0.0033155647,0.005522734,0.013318549
T.TA.C,-0.008095511,-0.0066637076,0.003914115,-0.009077726,0.00028704916
T.TA.G,-0.005005555,-0.004324095,0.0018567765,-0.0061121224,-0.0021012183
T.TA.T,-0.0012430771,-0.0013591187,0.0006846513,-0.0022529277,-0.0003911286
T.TC.A,-0.0043982463,-0.003221885,0.002597692,-0.00469167,0.0013888886
T.TC.C,-0.0028836639,-6.424803e-05,0.006749385,-0.006135076,0.007795931
T.TC.G,-0.0037431344,-0.003965816,0.0018969835,-0.0071355207,-0.0020986514
T.TC.T,-0.00032244594,-0.0017676096,0.0034792665,-0.0060196193,0.0023081144
T.TG.A,-0.006578456,-0.00663004,0.0018334881,-0.008289795,-0.0036834998
T.TG.C,0.0064239856,0.0059140893,0.005033708,0.0006854313,0.011045452
T.TG.G,-0.0019209108,-0.0029467288,0.0037999263,-0.0068093115,0.0019528278
T.TG.T,-0.003025674,-0.0037202486,0.004056879,-0.008091843,0.00044857603
CA,0.0023746353,0.001709038,0.0014721468,-0.00031412064,0.0031486915
CG,0.00019132657,0.0005463267,0.002494544,-0.0017719481,0.00395862
CT,-0.00095970463,-0.0013901845,0.0019301411,-0.0036604875,0.00070095534
TA,-0.00053543184,-0.0007160051,0.0016708189,-0.0034109438,0.0010206467
TC,-0.0054669403,-0.0056324746,0.0005276611,-0.0064161653,-0.0050750882
TG,-0.0043172324,-0.00403683,0.0010235981,-0.0054525766,-0.003022934
C.CA,-0.00055195024,-0.0019770942,0.0033991733,-0.0065122023,0.0018639225
C.CG,0.0058565713,0.005921944,0.004665437,0.00066095055,0.011689192
C.CT,-0.0010125535,-0.0019620429,0.001930226,-0.004258952,-0.00018815883
C.TA,-0.0033159165,-0.003669146,0.0010168963,-0.004870835,-0.0025334002
C.TC,-0.009367401,-0.009450702,0.001866058,-0.012424986,-0.0074339174
C.TG,-0.0031896427,-0.0033508725,0.0011413555,-0.0052252077,-0.0022007655
A.CA,0.01258303,0.0108538885,0.010612492,-0.0011733255,0.02569162
A.CG,0.01226415,0.012397578,0.0012551215,0.010933754,0.014316503
A.CT,0.00676166,0.005677191,0.006551886,-0.005249341,0.011468235
A.TA,0.0003159417,0.0022271967,0.0040910267,-0.0018813063,0.008367707
A.TC,0.0013335311,0.0006347924,0.003586025,-0.0033318412,0.005690169
A.TG,-0.0016640348,0.0009696057,0.004044251,-0.0023339246,0.005591176
G.CA,-0.0040693143,-0.005098949,0.003962925,-0.011890655,-0.0014519613
G.CG,0.0038442495,0.0042993417,0.0024005014,0.0018565765,0.0075592296
G.CT,-0.006859091,-0.0042084446,0.005618076,-0.010568351,0.0024216396
G.TA,-0.0053502372,-0.004774267,0.005013262,-0.009513031,0.0018538237
G.TC,-0.0029691062,-0.0019168457,0.0020446081,-0.0034769077,0.0015117457
G.TG,-0.0021538828,-0.0023738095,0.0012087859,-0.004307143,-0.0009903802
T.CA,-0.0014006007,-0.001093026,0.0020109315,-0.003885468,0.0015698685
T.CG,-0.003775895,-0.003366831,0.0025810767,-0.0058359066,0.00036902746
T.CT,-0.0008179998,-0.0013135548,0.0015139579,-0.0032394428,0.00021422928
T.TA,-0.00035549494,2.3671932e-05,0.002608959,-0.0026763566,0.0029943697
T.TC,-0.0007317866,-0.00095368474,0.0003665614,-0.0013896584,-0.0006646619
T.TG,-0.0029462655,-0.0025472133,0.0018670757,-0.0044440604,-0.00051117246
CA.A,0.0031777616,0.0036398272,0.0019042094,0.0019914107,0.0065059983
CG.A,-0.0018698123,-0.000120113,0.0032377613,-0.0026060916,0.004769872
CT.A,-0.0020821271,-0.002632909,0.0013340778,-0.0043335226,-0.0013032223
TA.A,0.0047041844,0.0037287064,0.0018083644,0.0010967336,0.005404518
TC.A,0.0021686652,0.00025603702,0.0044527436,-0.0047728186,0.0044504567
TG.A,-0.0034541576,-0.0036790012,0.0032355753,-0.009065878,-0.00095776294
CA.C,0.0073163193,0.006820901,0.0030035966,0.0024062681,0.010484571
CG.C,0.011011525,0.0071684467,0.007695003,-0.0020551218,0.014058906
CT.C,-0.0014047484,-0.0017940376,0.0018668607,-0.00471615,-4.8693373e-06
TA.C,-0.009074506,-0.0079310965,0.0025981476,-0.009979013,-0.003942164
TC.C,-0.005571519,-0.0037699244,0.0036765244,-0.006894321,0.0018715659
TG.C,0.0027689904,0.0026536512,0.0024597556,-2.0360546e-06,0.00541701
CA.G,0.019484704,0.015907533,0.0064263428,0.005057773,0.02026705
CG.G,0.011344272,0.012540378,0.0032418643,0.009009042,0.016740737
CT.G,0.0038576373,0.0045788498,0.008900771,-0.0066277343,0.014210201
TA.G,-0.0058574504,-0.0033104643,0.004985713,-0.0073088203,0.004223618
TC.G,-0.003873215,-0.003634587,0.0016828543,-0.004870309,-0.0007514155
TG.G,0.005101171,0.0073138573,0.0066793305,0.0012167692,0.014981877
CA.T,-0.0018763762,-0.0020736926,0.0047794213,-0.0087908255,0.0044477005
CG.T,-0.004397691,-0.0038241982,0.0023994027,-0.005539029,0.00035069668
CT.T,-0.0029089404,-0.0025140462,0.002570712,-0.006280937,0.00020816446
TA.T,-0.0027788554,-0.0021772932,0.0015430339,-0.0035195737,0.00033745138
TC.T,-0.00560282,-0.0073860586,0.0030439994,-0.010914566,-0.0048089703
TG.T,-0.0045369514,-0.0047538327,0.002421897,-0.007903284,-0.0023538275
Bin_1,-0.0,-0.00031264068,0.0006990858,-0.0015632034,-0.0
Bin_2,0.0,0.0,0.0,0.0,0.0
Bin_3,0.0,0.0,0.0,0.0,0.0
Bin_4,0.0,0.0,0.0,0.0,0.0
Bin_5,-0.0,0.0,0.0,-0.0,-0.0
Bin_6,-0.0,0.0,0.0,-0.0,-0.0
Bin_7,-0.0,-6.494864e-05,0.00014522958,-0.0003247432,-0.0
Bin_8,-0.0,0.0,0.0,0.0,0.0
Bin_9,-0.0,0.0,0.0,0.0,0.0
Bin_10,-0.0,0.0,0.0,-0.0,-0.0
Bin_11,-0.0,0.0,0.0,-0.0,-0.0
Bin_12,0.0,0.0010638497,0.0023788402,0.0,0.0053192484
Bin_13,-0.0,0.0,0.0,-0.0,-0.0
Bin_14,0.0,0.0,0.0,-0.0,-0.0
Bin_15,0.0,0.0,0.0,0.0,0.0
Bin_16,-0.0,0.0,0.0,-0.0,-0.0
Bin_17,-0.0,0.0,0.0,-0.0,-0.0
Bin_18,0.0,0.0,0.0,0.0,0.0
Bin_19,-0.0,0.0,0.0,0.0,0.0
Bin_20,0.0,-0.002247715,0.005026043,-0.011238575,0.0
Bin_21,0.0,0.0,0.0,0.0,0.0
