,Ovary-AdenoCA,CNS-PiloAstro,Liver-HCC,Panc-Endocrine,Kidney-RCC,Prost-AdenoCA,Thy-AdenoCA,ColoRect-AdenoCA,Lymph-BNHL,Uterus-AdenoCA,Breast-AdenoCA,Lung-AdenoCA,Panc-AdenoCA,Eso-AdenoCA,Head-SCC,CNS-Medullo,CNS-GBM,Skin-Melanoma,Lymph-CLL,Kidney-ChRCC,Stomach-AdenoCA,Lung-SCC,Bone-Osteosarc,Myeloid-MPN
A.TA.T,0.32857142857142857,0.34,0.6363636363636364,0.4703196347031963,0.6081081081081081,0.053763440860215055,0.5,0.0,0.2440944881889764,0.18018018018018017,0.3953488372093023,0.0,0.10465116279069768,0.4457831325301205,0.45454545454545453,0.625,0.15789473684210525,0.0,0.0,0.0,0.0,0.09090909090909091,0.24096385542168675,0.0
A.TC.A,0.12857142857142856,0.12,0.03636363636363636,0.5205479452054794,0.16216216216216217,0.053763440860215055,0.3333333333333333,0.0,0.889763779527559,0.7477477477477478,0.4127906976744186,0.4444444444444444,0.023255813953488372,0.2891566265060241,0.2727272727272727,0.7916666666666666,0.45263157894736844,0.1702127659574468,0.0,0.0,0.0,0.0,0.14457831325301204,0.0
A.TC.C,0.07142857142857142,0.26,0.01818181818181818,0.2054794520547945,0.40540540540540543,0.12903225806451613,0.2222222222222222,0.0,0.3700787401574803,0.05405405405405406,0.22093023255813954,0.3333333333333333,0.06976744186046512,0.012048192771084338,0.2727272727272727,0.125,0.37894736842105264,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
A.TC.G,0.12857142857142856,0.18,0.09090909090909091,0.3972602739726027,0.20270270270270271,0.16129032258064516,0.2777777777777778,0.0,0.9645669291338582,0.7297297297297297,0.19186046511627908,0.6666666666666666,0.046511627906976744,0.012048192771084338,0.5454545454545454,0.7083333333333334,0.42105263157894735,0.14893617021276595,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
A.TC.T,0.11428571428571428,0.42,0.05454545454545454,0.5251141552511416,0.21621621621621623,0.053763440860215055,0.2222222222222222,0.5,0.9173228346456693,0.7297297297297297,0.313953488372093,0.7777777777777778,0.05813953488372093,0.04819277108433735,0.2727272727272727,0.25,0.30526315789473685,0.02127659574468085,0.0,0.06666666666666667,0.0,0.22727272727272727,0.0,0.5
A.TG.A,0.12857142857142856,0.14,0.0,0.1780821917808219,0.32432432432432434,0.0967741935483871,0.16666666666666666,0.0,0.1889763779527559,0.018018018018018018,0.22674418604651161,0.1111111111111111,0.06976744186046512,0.20481927710843373,0.2727272727272727,0.5416666666666666,0.6105263157894737,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.125
A.TG.C,0.1,0.16,0.14545454545454545,0.2146118721461187,0.7162162162162162,0.043010752688172046,0.4444444444444444,0.0,0.20078740157480315,0.05405405405405406,0.16279069767441862,0.2222222222222222,0.09302325581395349,0.8072289156626506,0.18181818181818182,0.5,0.3263157894736842,0.3829787234042553,0.0,0.0,0.0,0.0,0.1927710843373494,0.0
A.TG.G,0.7142857142857143,0.36,0.32727272727272727,0.1780821917808219,0.6891891891891891,0.6236559139784946,0.5,0.0,0.1377952755905512,0.06306306306306306,0.8023255813953488,0.3333333333333333,0.011627906976744186,0.4457831325301205,0.5454545454545454,0.3333333333333333,0.2631578947368421,0.0,0.0,0.0,0.0,0.13636363636363635,0.1927710843373494,0.125
A.TG.T,0.7428571428571429,0.38,0.43636363636363634,0.1917808219178082,0.22972972972972974,0.11827956989247312,0.2777777777777778,0.0,0.33070866141732286,0.3963963963963964,0.7965116279069767,0.0,0.22093023255813954,0.37349397590361444,0.45454545454545453,0.4583333333333333,0.2736842105263158,0.10638297872340426,0.0,0.0,0.0,0.0,0.18072289156626506,0.0
C.CA.A,0.5857142857142857,0.12,0.6,0.1187214611872146,0.4864864864864865,0.3978494623655914,0.3333333333333333,0.0,0.16535433070866143,0.11711711711711711,0.7674418604651163,0.3333333333333333,0.0,0.25301204819277107,0.6363636363636364,0.25,0.1368421052631579,0.0,0.0,0.0,0.0,0.13636363636363635,0.1686746987951807,0.125
C.CA.C,0.4,0.28,0.05454545454545454,0.2146118721461187,0.5,0.03225806451612903,0.3888888888888889,0.0,0.4409448818897638,0.09009009009009009,0.7383720930232558,0.3333333333333333,0.0,0.3614457831325301,0.2727272727272727,0.4166666666666667,0.5368421052631579,0.14893617021276595,0.0,0.0,0.0,0.0,0.21686746987951808,0.0
